CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,RPT_DT,CMPLNT_FR_TM,CRM_ATPT_CPTD_CD,KY_CD,LAW_CAT_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,Latitude,Longitude,ATTRIBUTE_COMBO,FREQUENCY,RISK_LEVEL
775688943,44,BRONX,8/29/2017,8/29/2017,0:01:00,COMPLETED,351,MISDEMEANOR,,,,25-44,WHITE HISPANIC,M,40.8332813,-73.9250321,"BRONX, 25-44, WHITE HISPANIC, M",11,HIGH
519825246,41,BRONX,10/13/2017,3/13/2018,13:00:00,COMPLETED,109,FELONY,,,,18-24,WHITE HISPANIC,M,40.81650475,-73.90196541,"BRONX, 18-24, WHITE HISPANIC, M",3,LOW
629699784,48,BRONX,10/13/2019,10/13/2019,21:25:00,COMPLETED,344,MISDEMEANOR,45-64,WHITE HISPANIC,M,45-64,WHITE HISPANIC,F,40.8579245,-73.89195221,"BRONX, 45-64, WHITE HISPANIC, F",10,MEDIUM
569402501,46,BRONX,9/5/2016,9/5/2016,3:00:00,COMPLETED,107,FELONY,,,,25-44,BLACK,M,40.85858397,-73.90869607,"BRONX, 25-44, BLACK, M",26,HIGH
818639628,47,BRONX,4/20/2020,4/21/2020,19:00:00,COMPLETED,121,FELONY,,,,25-44,BLACK,F,40.88708919,-73.86778567,"BRONX, 25-44, BLACK, F",18,HIGH
967026363,50,BRONX,12/12/2016,5/21/2017,9:00:00,COMPLETED,109,FELONY,,,,65+,WHITE,F,40.90837821,-73.90880131,"BRONX, 65+, WHITE, F",2,LOW
211092434,40,BRONX,12/5/2016,12/5/2016,1:00:00,COMPLETED,107,FELONY,UNKNOWN,UNKNOWN,U,18-24,BLACK HISPANIC,M,40.81411506,-73.91718536,"BRONX, 18-24, BLACK HISPANIC, M",2,LOW
533739064,44,BRONX,9/22/2018,9/22/2018,9:00:00,COMPLETED,344,MISDEMEANOR,<18,BLACK,M,25-44,BLACK,M,40.83778162,-73.91945797,"BRONX, 25-44, BLACK, M",26,HIGH
890189936,43,BRONX,9/10/2020,9/10/2020,1:20:00,COMPLETED,344,MISDEMEANOR,UNKNOWN,UNKNOWN,M,18-24,WHITE HISPANIC,M,40.83343078,-73.85454333,"BRONX, 18-24, WHITE HISPANIC, M",3,LOW
634051904,43,BRONX,8/7/2016,8/7/2016,2:46:00,COMPLETED,106,FELONY,UNKNOWN,BLACK,M,<18,WHITE HISPANIC,M,40.82032379,-73.86272285,"BRONX, <18, WHITE HISPANIC, M",1,LOW
291283776,40,BRONX,8/7/2020,8/8/2020,22:00:00,COMPLETED,121,FELONY,UNKNOWN,UNKNOWN,U,25-44,BLACK,M,40.82051866,-73.92133955,"BRONX, 25-44, BLACK, M",26,HIGH
523610462,47,BRONX,8/3/2019,8/5/2019,17:00:00,COMPLETED,351,MISDEMEANOR,UNKNOWN,UNKNOWN,U,65+,BLACK,F,40.87805386,-73.86324371,"BRONX, 65+, BLACK, F",5,LOW
555544028,43,BRONX,9/6/2017,9/7/2017,23:33:00,COMPLETED,578,VIOLATION,45-64,WHITE HISPANIC,M,45-64,WHITE HISPANIC,F,40.82997001,-73.87854093,"BRONX, 45-64, WHITE HISPANIC, F",10,MEDIUM
245219160,44,BRONX,9/18/2020,9/19/2020,12:00:00,COMPLETED,351,MISDEMEANOR,18-24,BLACK,F,65+,BLACK,F,40.83585101,-73.91054502,"BRONX, 65+, BLACK, F",5,LOW
783043062,47,BRONX,1/29/2017,1/29/2017,11:08:00,COMPLETED,344,MISDEMEANOR,25-44,BLACK,F,25-44,BLACK,M,40.88708919,-73.86778567,"BRONX, 25-44, BLACK, M",26,HIGH
303386241,41,BRONX,3/9/2020,3/9/2020,15:58:00,COMPLETED,341,MISDEMEANOR,18-24,BLACK,M,25-44,BLACK,M,40.82186669,-73.89737254,"BRONX, 25-44, BLACK, M",26,HIGH
